City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Carnarvon,AU,2021-09-11 01:33:18,-24.8667,113.6333,66.27,52,0,20.71
68,Cayenne,GF,2021-09-11 01:33:18,4.9333,-52.3333,82.09,82,0,1.99
69,Kampot,KH,2021-09-11 01:33:18,10.6167,104.1833,78.85,85,100,10.8
70,Amahai,ID,2021-09-11 01:33:19,-3.3333,128.9167,80.04,83,98,1.54
71,Nantucket,US,2021-09-11 01:31:07,41.2835,-70.0995,70.09,72,0,20.69
72,Waitara,NZ,2021-09-11 01:33:19,-38.925,174.25,56.71,58,5,18.07
73,Cabo San Lucas,MX,2021-09-11 01:30:21,22.8909,-109.9124,83.52,80,40,1.99
74,Kapit,MY,2021-09-11 01:33:20,2.0167,112.9333,79.11,86,94,1.77
75,Keuruu,FI,2021-09-11 01:33:20,62.2667,24.7,51.8,90,100,3.62
76,Luderitz,NA,2021-09-11 01:33:20,-26.6481,15.1594,57.65,65,4,8.84
77,Vila Velha,BR,2021-09-11 01:33:21,-20.3297,-40.2925,75.15,83,20,10.36
78,Sabang,ID,2021-09-11 01:33:21,5.8933,95.3214,81.93,72,100,12.33
79,Berlevag,NO,2021-09-11 01:33:21,70.8578,29.0864,43.41,75,99,18.45
80,Pasca,CO,2021-09-11 01:33:21,4.3072,-74.3006,62.67,83,80,7.65
81,Ishigaki,JP,2021-09-11 01:33:22,24.3448,124.1572,82.53,89,75,16.11
82,Hengyang,CN,2021-09-11 01:33:22,26.8881,112.615,89.08,54,13,3.33
83,Hilo,US,2021-09-11 01:32:17,19.7297,-155.09,83.93,70,1,10.36
84,Demirci,TR,2021-09-11 01:33:23,39.0461,28.6589,52.72,87,0,5.26
85,Poum,NC,2021-09-11 01:33:23,-20.2333,164.0167,71.8,62,18,9.33
86,Puerto Ayora,EC,2021-09-11 01:33:23,-0.7393,-90.3518,69.55,90,12,4.0
87,Umm Kaddadah,SD,2021-09-11 01:33:24,13.6017,26.6876,82.17,62,23,11.23
88,Dikson,RU,2021-09-11 01:33:24,73.5069,80.5464,43.2,94,100,9.01
89,Cherskiy,RU,2021-09-11 01:33:24,68.75,161.3,38.28,53,16,10.83
90,Butaritari,KI,2021-09-11 01:33:25,3.0707,172.7902,83.12,75,14,14.9
91,Komsomolskiy,UZ,2021-09-11 01:33:25,40.4272,71.7189,62.02,39,8,4.61
92,Yellowknife,CA,2021-09-11 01:33:25,62.456,-114.3525,52.32,66,40,4.61
93,Seydi,TM,2021-09-11 01:33:26,39.4816,62.9137,60.67,21,0,9.42
94,Haines Junction,CA,2021-09-11 01:33:26,60.7522,-137.5108,57.15,54,99,4.61
95,Teguldet,RU,2021-09-11 01:33:27,57.3064,88.1667,51.04,65,100,10.45
96,Hasaki,JP,2021-09-11 01:33:27,35.7333,140.8333,79.2,78,61,8.37
97,Guerrero Negro,MX,2021-09-11 01:33:27,27.9769,-114.0611,74.86,82,83,10.96
98,Challapalle,IN,2021-09-11 01:33:28,16.1167,80.9333,80.74,84,100,8.72
99,Nikolskoye,RU,2021-09-11 01:33:28,59.7035,30.7861,46.29,79,84,4.47
100,Toila,EE,2021-09-11 01:33:28,59.4236,27.5025,56.52,94,78,6.35
101,Posse,BR,2021-09-11 01:33:29,-14.0931,-46.3694,73.81,20,13,5.77
102,Ponta Do Sol,PT,2021-09-11 01:33:29,32.6667,-17.1,74.03,76,28,2.26
103,Marsh Harbour,BS,2021-09-11 01:33:29,26.5412,-77.0636,84.34,67,0,3.44
104,Korla,CN,2021-09-11 01:33:30,41.7597,86.1469,76.26,22,99,18.43
105,Mount Isa,AU,2021-09-11 01:31:05,-20.7333,139.5,82.17,30,0,10.36
106,Bantou,CN,2021-09-11 01:33:30,26.2151,117.4893,89.55,57,0,3.06
107,Tigzirt,DZ,2021-09-11 01:33:30,36.8886,4.1198,72.88,77,6,4.97
108,Torbay,CA,2021-09-11 01:30:25,47.6666,-52.7314,66.27,98,90,23.02
109,Saskylakh,RU,2021-09-11 01:33:31,71.9167,114.0833,57.49,64,100,7.4
110,Tautira,PF,2021-09-11 01:33:31,-17.7333,-149.15,82.42,71,47,10.27
111,Khatanga,RU,2021-09-11 01:33:32,71.9667,102.5,54.16,55,20,17.05
112,Concarneau,FR,2021-09-11 01:33:32,47.875,-3.9225,59.77,88,3,2.44
113,Luang Prabang,LA,2021-09-11 01:33:32,19.8856,102.1347,76.96,88,90,4.61
114,Muros,ES,2021-09-11 01:33:33,42.7762,-9.0603,64.24,95,13,5.86
115,Tual,ID,2021-09-11 01:33:33,-5.6667,132.75,79.77,84,82,15.82
116,Airai,TL,2021-09-11 01:33:33,-8.9266,125.4092,75.69,42,99,3.49
117,Sangmelima,CM,2021-09-11 01:33:34,2.9333,11.9833,67.57,99,100,2.39
118,Kavieng,PG,2021-09-11 01:33:34,-2.5744,150.7967,85.01,69,90,14.54
119,Carballo,ES,2021-09-11 01:28:43,43.213,-8.691,61.86,96,52,3.51
120,Lincoln,US,2021-09-11 01:31:14,40.8,-96.667,80.98,78,1,4.61
121,Pisco,PE,2021-09-11 01:33:35,-13.7,-76.2167,60.85,82,90,5.75
122,Cockburn Town,TC,2021-09-11 01:33:35,21.4612,-71.1419,83.7,74,100,16.93
123,Lorengau,PG,2021-09-11 01:33:36,-2.0226,147.2712,85.87,66,100,12.39
124,Makokou,GA,2021-09-11 01:33:36,0.5738,12.8642,70.95,96,100,0.83
125,Celestun,MX,2021-09-11 01:33:36,20.8667,-90.4,75.88,93,100,15.57
126,Kodiak,US,2021-09-11 01:33:37,57.79,-152.4072,62.11,55,1,17.27
127,Puri,IN,2021-09-11 01:33:37,19.8,85.85,81.12,81,98,12.53
128,Namie,JP,2021-09-11 01:33:37,37.4833,141.0,75.72,92,100,5.37
129,Bara,NG,2021-09-11 01:33:38,10.3744,10.7288,72.43,94,100,3.18
130,Bengkulu,ID,2021-09-11 01:33:38,-3.8004,102.2655,80.47,75,95,5.95
131,College,US,2021-09-11 01:33:38,64.8569,-147.8028,64.72,52,75,8.05
132,Nowy Dwor Gdanski,PL,2021-09-11 01:33:39,54.2131,19.1177,62.37,63,19,8.12
133,Flinders,AU,2021-09-11 01:33:39,-34.5833,150.8552,79.88,39,0,5.99
134,Ramon Castilla,PE,2021-09-11 01:33:39,-4.2569,-69.9594,75.45,100,20,0.0
135,Salalah,OM,2021-09-11 01:33:40,17.0151,54.0924,78.89,100,90,2.3
136,Saint George,US,2021-09-11 01:33:40,37.1041,-113.5841,99.07,21,1,5.01
137,Hofn,IS,2021-09-11 01:33:41,64.2539,-15.2082,51.57,69,100,8.7
138,Barrow,US,2021-09-11 01:30:01,71.2906,-156.7887,35.62,93,90,14.97
139,Zhigansk,RU,2021-09-11 01:33:41,66.7697,123.3711,52.84,45,27,10.45
140,Benguela,AO,2021-09-11 01:33:42,-12.5763,13.4055,71.06,87,88,3.13
141,Marquette,US,2021-09-11 01:33:42,46.5333,-87.6335,65.77,79,100,4.0
142,Kyabram,AU,2021-09-11 01:33:42,-36.3167,145.05,78.87,30,0,15.88
143,Manjakandriana,MG,2021-09-11 01:33:43,-18.9167,47.8,53.29,92,99,7.76
144,San Quintin,MX,2021-09-11 01:33:43,30.4833,-115.95,73.58,81,5,11.1
145,Luena,AO,2021-09-11 01:33:43,-11.7833,19.9167,59.18,36,47,3.94
146,Muzaffarabad,PK,2021-09-11 01:33:44,34.37,73.4711,74.07,85,33,2.93
147,Nome,US,2021-09-11 01:33:44,64.5011,-165.4064,46.47,76,90,16.11
148,New Norfolk,AU,2021-09-11 01:33:44,-42.7826,147.0587,63.72,57,47,4.0
149,Kungurtug,RU,2021-09-11 01:33:45,50.5994,97.5228,47.98,71,95,2.51
150,Batagay,RU,2021-09-11 01:33:45,67.6333,134.6333,52.9,36,16,1.86
151,Thompson,CA,2021-09-11 01:33:46,55.7435,-97.8558,50.16,71,75,16.11
152,North Shore,NZ,2021-09-11 01:33:46,-36.8,174.75,61.99,66,6,8.01
153,Comodoro Rivadavia,AR,2021-09-11 01:32:01,-45.8667,-67.5,60.66,41,0,5.75
154,Kangasala,FI,2021-09-11 01:33:47,61.4638,24.076,51.85,95,92,5.12
155,Padang,ID,2021-09-11 01:31:57,-0.9492,100.3543,78.85,75,100,1.63
156,Mezen,RU,2021-09-11 01:33:47,65.8522,44.24,41.41,87,100,8.08
