City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
637,innisfail,AU,-17.5333,146.0333,71.1,86,100,2.71,light rain
638,arkhipo-osipovka,RU,44.37,38.52,64.53,84,40,4.16,scattered clouds
639,gushikawa,JP,26.3544,127.8686,82.4,94,40,13.8,light intensity shower rain
640,jasper,US,37.2001,-94.3502,92.82,32,0,5.99,clear sky
641,shillong,IN,25.5689,91.8831,63.63,85,85,2.21,light rain
642,kamaishi,JP,39.2667,141.8833,67.14,87,0,5.97,clear sky
643,loukhi,RU,66.0764,33.0381,37.98,79,99,1.25,overcast clouds
644,bogo,PH,11.0517,124.0055,79.18,85,100,5.79,overcast clouds
645,buchanan,LR,5.8808,-10.0467,78.31,87,98,5.59,overcast clouds
646,novosokolniki,RU,56.3463,30.1578,59.74,91,95,5.75,overcast clouds
647,odweyne,SO,9.4092,45.064,78.44,40,100,21.0,overcast clouds
648,moose factory,CA,51.2585,-80.6094,66.2,82,20,9.22,few clouds
649,peto,MX,20.1333,-88.9167,77.23,88,100,3.85,overcast clouds
650,bud,US,39.447,-86.1758,85.19,59,6,13.78,clear sky
651,arboletes,CO,8.8505,-76.4269,82.67,76,100,3.29,overcast clouds
652,mezen,RU,65.8522,44.24,36.81,91,34,6.91,scattered clouds
653,agadez,NE,19.75,10.25,94.17,13,0,7.61,clear sky
654,muros,ES,42.7762,-9.0603,70.3,87,50,6.08,scattered clouds
655,fergus falls,US,46.283,-96.0776,73.17,39,1,6.91,clear sky
656,gamba,GA,-2.65,10.0,75.54,88,100,8.9,overcast clouds
657,kalnciems,LV,56.8011,23.6097,60.85,96,22,4.65,few clouds
658,pueblo nuevo,MX,23.3833,-105.3833,76.53,28,0,2.75,clear sky
659,maine-soroa,NE,13.2114,12.0241,92.48,37,68,2.53,broken clouds
660,pacific grove,US,36.6177,-121.9166,89.58,80,20,5.99,few clouds
661,kirkwall,GB,58.9848,-2.9587,53.94,93,75,13.8,broken clouds
662,jalu,LY,29.0331,21.5482,89.62,26,0,10.04,clear sky
663,arawa,PG,-6.2132,155.5367,79.9,82,100,3.49,overcast clouds
664,monrovia,LR,6.3005,-10.7969,78.3,86,100,6.04,light rain
665,stromness,GB,58.965,-3.296,53.85,92,100,8.01,light rain
666,zavyalovo,RU,54.5053,82.4484,50.25,88,100,10.07,overcast clouds
667,boyuibe,BO,-20.4167,-63.2833,91.31,32,7,13.18,clear sky
668,joyabaj,GT,14.995,-90.8061,79.43,88,100,4.63,overcast clouds
669,samarai,PG,-10.6167,150.6667,78.15,85,100,14.41,overcast clouds
670,kamenka,RU,51.3223,42.7678,62.2,65,99,6.33,overcast clouds
